epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.73613,1.03327,3.86506,1.90545,0.00336,1,0.25497,0.03999,0.70488,2.99536,1.51903,0,0,0
2,9.13849,1.19519,4.06177,1.72834,0.00335,1,0.2564,0.04676,0.70675,2.98026,1.53778,1.50197e-05,1.50197e-05,1.50197e-05
3,9.4055,1.22284,3.60283,2.06586,0.00336,1,0.2578,0.0465,0.71462,2.96727,1.53033,2.67387e-05,2.67387e-05,2.67387e-05
4,9.67228,0.72798,3.59348,1.40024,0.00335,1,0.25596,0.06265,0.7193,2.99947,1.49238,3.5157e-05,3.5157e-05,3.5157e-05
5,10.0295,0.71286,3.5462,1.05819,0.00334,1,0.50388,0.07807,0.67107,2.97995,1.39324,4.02747e-05,4.02747e-05,4.02747e-05
6,10.3863,1.47881,3.85585,1.54472,0.00334,1,0.50856,0.0779,0.68109,2.9826,1.3793,4.20917e-05,4.20917e-05,4.20917e-05
7,10.7703,1.05531,3.75085,1.9827,0.00333,1,0.51527,0.15204,0.61407,2.96899,1.34779,4.06081e-05,4.06081e-05,4.06081e-05
8,11.118,0.9036,3.68074,1.70195,0.00333,1,0.52238,0.16417,0.61898,2.95964,1.33373,3.58238e-05,3.58238e-05,3.58238e-05
9,11.4693,1.65516,4.35466,2.30445,0.00333,1,0.52238,0.16417,0.61898,2.95964,1.33373,2.77389e-05,2.77389e-05,2.77389e-05
10,11.8331,0.76661,3.49177,1.58415,0.00333,1,0.53577,0.18315,0.59452,2.96101,1.30805,1.63533e-05,1.63533e-05,1.63533e-05
