epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.68672,0.72123,3.77757,1.37285,0.00347,1,0.17413,0.08881,0.63507,3.06912,1.42975,0,0,0
2,8.10241,1.14522,3.91644,1.96839,0.00348,1,0.28468,0.12695,0.63654,3.06398,1.44181,1.28753e-05,1.28753e-05,1.28753e-05
3,8.38572,0.87946,3.83592,1.60285,0.00348,1,0.25629,0.1214,0.64341,3.06074,1.44313,2.29212e-05,2.29212e-05,2.29212e-05
4,8.64037,0.79392,3.88189,1.35859,0.00348,1,0.22901,0.09448,0.64885,3.0667,1.4177,3.01376e-05,3.01376e-05,3.01376e-05
5,9.0016,0.71465,3.75725,1.46229,0.00345,1,0.23217,0.1141,0.69396,3.06701,1.4037,3.45246e-05,3.45246e-05,3.45246e-05
6,9.41578,0.87286,3.74594,1.40745,0.00342,1,0.25981,0.18518,0.65457,3.05153,1.32332,3.60822e-05,3.60822e-05,3.60822e-05
7,9.83491,0.84341,3.65557,1.25686,0.00341,1,0.26533,0.19789,0.60379,3.03982,1.27223,3.48104e-05,3.48104e-05,3.48104e-05
8,10.226,0.39014,3.50255,1.0685,0.00339,1,0.26902,0.23475,0.54818,3.03714,1.22918,3.07092e-05,3.07092e-05,3.07092e-05
9,10.6489,0.55489,3.54673,1.25461,0.00339,1,0.26902,0.23475,0.54818,3.03714,1.22918,2.37786e-05,2.37786e-05,2.37786e-05
10,11.1299,1.46833,4.09489,2.55743,0.00343,1,0.53067,0.47097,0.54537,3.02837,1.21963,1.40185e-05,1.40185e-05,1.40185e-05
